placeid,lat,lon,drogerie
ChIJLXckPuuwY0ERcLVmHgW0hzI,53.6669404,10.2292417,dm
ChIJ72GVz1q7Y0ERM_O0AzHUNCU,53.57861,9.70413,dm
ChIJJ0nVS2GEsUcReblSlDjpT68,53.5539567,9.8445387,other
ChIJf_SOrRyLsUcR_-mszOrbemw,53.6049696,10.1565278,dm
ChIJ79BUcZPCs0cRmseIdVu7fAI,53.9216978,9.3745673,other
ChIJ9_jq2eEZskcRlUvhS4NTmNs,53.810007,10.375852,dm
ChIJVx_WU67zsUcRJig95--yuK4,53.52211,10.24428,dm
ChIJ6cvznvdksUcR6BdQiiquG7I,53.5954723,9.4183798,dm
ChIJOfmcADMuskcRJsZ5FLXBaaE,53.83036,9.97807,dm
ChIJ_6JAC6IoskcR2B0XRreHvzk,53.7333,9.99737,other
ChIJlUjOh3qHsUcRCQLGX1TGbWM,53.6644042,9.9092635,other
ChIJ22UFySuJsUcRt2OLIOdPUkU,53.58255,10.01601,other
ChIJ6SgWMgWHsUcRppcdI3ZetjQ,53.6409036,9.8974836,other
ChIJ3-DvNzt-sUcRebsZENq2bNI,53.6832043,9.6654216,other
ChIJ44pOYusgskcRLDOoEk9UaTI,53.6783802,10.1458412,other
ChIJ0TzBNZEgskcRVGAXhQ5cQlM,53.66995,10.14291,other
ChIJMdgi3PjEs0cRzRL6MK24f6w,53.92326,9.52049,other
ChIJrxJph1OBsUcR-J7ctyL_0AY,53.5991277,9.8322376,other
ChIJZe0_LDiKsUcR0vpRLd_rRxo,53.625,10.1147,other
ChIJNTMnR9GIsUcRXhx7RZfqRus,53.5859314,10.003958,other
ChIJhRej0VuKsUcRtr4lBvKccmw,53.6255718,10.1402024,other
ChIJH26vOBuPsUcRdNuIh8SLFEE,53.54866,9.9896,dm
ChIJu8UKo7_3sUcRHGeJ520rht4,53.60815,10.41238,other
ChIJZ-XnCITzsUcR6uyo0YAej2c,53.5519642,10.2501149,other
ChIJi60xzl-AsUcRs6A5C_sjK8s,53.6614984,9.7957941,other
ChIJZexfCU3Zs0cRiijhBykuQXM,53.7889385,9.4255554,other
ChIJsZvHgMOKrUcRaAgV6xvXqkA,53.958408,10.871881,dm
ChIJN8qHa0O_rUcR9EopOayTUTY,53.902851,11.4048637,dm
ChIJ-yvkNf81YkERAwq75MvsIlE,53.866707,10.685832,dm
ChIJ5b6hFbD4rUcRvbm2SX3hs7w,53.699534,10.743257,dm
ChIJI2RgNx7arUcRMvhq0-QN7EQ,53.6288387,11.4113368,dm
ChIJU3nFqmjXrUcRwsruUJUJzZM,53.5972,11.43939,dm
ChIJVVqrPbMOskcRKAs7ry3PjL8,53.85837,10.66444,other
ChIJL1tdUmLmrUcRJpCUgU_z2hI,53.7019094,11.1167705,other
ChIJRX8oLLs3YkERYUzR3NLVKZw,53.9212505,10.7456206,other
ChIJkxaAcr4LskcR5RhF8yOQPcU,53.8949823,10.713714,other
ChIJNSEdcP8LskcRPxR-J_aDfGY,53.8751889,10.6738825,other
ChIJKYCwlwIMskcRj6_4Bdh7BHg,53.873912,10.6590274,other
ChIJBS4C1WBzskcRdXC_1EPnwOI,53.9812922,10.7074451,other
ChIJgR21G3gIrkcRD5isVSoJphE,53.5531684,10.9142894,other
ChIJ48c0bFgJskcRdtneddVCR5A,53.8696016,10.6883655,other
ChIJPQN-MCnarUcRDnllXjsGzZU,53.634466,11.3881247,other
ChIJL2ZgNx7arUcRHibbawW6xcw,53.6287729,11.4112609,other
ChIJP-PeblgJskcRN-1Ic57sSaY,53.8695,10.68853,other
ChIJlSMjYms_rEcRRSbBxhMRKak,53.79511,12.174155,dm
ChIJz49FejBIrEcRO1kqfa8NKZc,53.8479202,11.9847374,other
ChIJu7AnfyxzrEcRid6WqqVKJ7U,53.776312,12.5769971,dm
ChIJYRvGjC96rEcRtNeqbEvKXWI,53.96954,12.7093817,other
ChIJ7zYm9zFIrEcRcqXodihS4VE,53.847902,11.979163,other
ChIJ9VKpl9z4q0cRfXvvfrd82X4,53.514991,12.685546,dm
ChIJW92hmctprEcRY8EfaRh75Cw,53.9265416,12.3466608,other
ChIJ95sBS7k5YkERZC0k1vyYXD8,53.9694815,12.7087121,other
ChIJR6jDriu1Y0ERyDa5YykHwok,53.7928825,12.1748681,other
ChIJW248dy2iq0cR-kzjjn_fbII,53.936539,13.4112085,other
ChIJDzIODCy2q0cRDaDUl_tdOtQ,53.6719251,13.5460091,other
ChIJi5DxToVGqkcR34A4sUA1T7o,53.68215,14.0766,other
ChIJP3xywh3pkEcRT4qAx7R-beI,53.1901837,7.9817202,other
ChIJJ1Qrs4xNtkcR60sySz9SIqc,53.220724,7.475729,dm
ChIJbymfF-pPtkcR47RXcOmvxZA,53.30841,7.4864101,other
ChIJv-0eJvM5tkcRL5beun3TfIY,53.36759,7.19186,other
ChIJESAzzdOzt0cRjUxVPRYF0i4,53.083452,7.383467,dm
ChIJgczfCCbytkcRRyFCzMaVd10,53.3907465,7.9516006,other
ChIJt_nofcCcY0EROFryDonrrn4,53.3613888,7.167911,dm
ChIJMfpL1-o5tkcR_HXGR_mEp6k,53.367145,7.206534,dm
ChIJi2GEoaest0cRRCMWKwYUfkA,53.13676,7.5744,other
ChIJB6j4H7H_tkcR2TGXvYCSe8k,53.1673,7.7457,other
ChIJwda1fSuyt0cRqV8R4McAJeQ,53.08012,7.39256,other
ChIJNdQkraest0cRSjHD3Xipj9U,53.1370652,7.5726555,other
ChIJH0quCvaxt0cRu7NZA59sUCo,53.07165,7.42287,other
ChIJq0GitnJPtkcRWx8c7RxmF0U,53.31053,7.43925,other
ChIJgcuE1Q6PZEERRAnI5hpBmaQ,53.0214734,7.8572978,other
ChIJPWTpIuoEt0cR7aPLH4iiRu8,53.01866,7.8552901,other
ChIJb5EX90Grt0cRSvoNOSbUP7E,53.127751,7.595328,other
ChIJf3m4M0Oyt0cRNWHCB9_Wib4,53.10533,7.42011,other
ChIJ-5a6rRcosUcRwtatadcjeHc,53.0784866,8.8020937,dm
ChIJH8PsdUTPtkcR3AK2sZEz5Nk,53.33405,8.46226,other
ChIJReXhLA_ftkcRyavcc3Jxgt0,53.1383696,8.2166683,dm
ChIJiU5HhFTTtkcRqSVWW9jDXto,53.111562,8.751025,dm
ChIJPf5vPC7etkcRNAUyVXNEIsQ,53.1602792,8.1707509,dm
ChIJ-Sv7GTjWsEcRyAU-Ae16-xg,53.0480117,8.7430105,dm
ChIJP4VkZkvUsEcR8nMsIQlTPdM,53.029019,8.658786,dm
ChIJyYwJ64bXsEcRHtIr5tU3e4g,53.0274651,8.8062654,dm
ChIJ9Vd2qwfftkcRZwYEOL39n14,53.142356,8.213281,dm
ChIJYc_TkgwpsUcRFEmIR3RNAX4,53.1186183,8.7562833,other
ChIJiVKOK4XftkcRBsHut2vbzeE,53.121217,8.1921117,dm
ChIJ1ZnF5tqFZEERsUN_nIVl9Is,53.0728134,8.825934,other
ChIJH0BFvIrXsEcRKlQp6TZ_JAE,53.0404537,8.8159952,other
ChIJoyDwBDLetkcRbEqcgZxiShM,53.1591398,8.1755529,other
ChIJtdx_fjwusUcRI5VrImjxdII,53.22545,8.79496,other
ChIJj0-2UfHStkcRLY9hC7p4Oq8,53.226353,8.5918645,other
ChIJfQdLjAkosUcR3a_mdXa8M4U,53.0790703,8.8262822,other
ChIJWYcAG_QnsUcRBWN2TRKfhqo,53.0663526,8.8468359,other
ChIJhVOWhr_VsEcROznBti3Ybvw,53.0506729,8.6734917,other
ChIJTXFRu4rXsEcR3xNQCJpFi5Y,53.0414815,8.8153397,other
ChIJ6URT2uATsUcR7sKqqE_AVtc,53.2938712,9.2783617,other
ChIJ4da8X-MesUcRUD3ggUI2zdY,53.0954448,9.1332567,other
ChIJGff8EbGGZEER2BN7WSwAdco,53.1151335,9.2328751,other
ChIJy_tqkj0osUcRqUiZyXCaW3s,53.0800086,8.7985335,other
ChIJW1MzSiCDY0ERZtGKf2KuWH8,53.327593,9.879937,dm
ChIJNQsDiO-9sUcRAy0M47QXnLM,53.30846,9.95581,other
ChIJgaC2CKWRsUcRqZ-hj3Q-4w8,53.460304,9.98243,dm
ChIJtSD_-EDcsUcRcIzOZ2F4TRg,53.221704,10.384358,dm
ChIJ7btFFWahsUcRNJbvpVv5eAc,53.2806797,9.7088021,other
ChIJIR3ypI3ysUcRQ9ICWpmpt84,53.492965,10.20735,dm
ChIJQepP-IvvsUcRQ0t6zfaFQTQ,53.4333276,10.3715203,dm
